Datetimetry,Zone_ID,Datetime,Open,High,Low,Close,Volume,MA_10
2022-5-30 17,SUPPORT_149,5/30/2022 17:00,161.425,161.512,161.258,161.413,5060,160.9944
2022-5-30 18,SUPPORT_149,5/30/2022 18:00,161.414,161.429,161.233,161.429,3835,161.0801
2022-5-30 23,SUPPORT_150,5/30/2022 23:00,161.409,161.492,161.286,161.324,2921,161.3588
2022-5-31 00,SUPPORT_150,5/31/2022 0:00,161.318,161.439,161.232,161.423,408,161.3964
2022-5-31 10,SUPPORT_151,5/31/2022 10:00,161.267,161.39,160.929,161.022,8663,161.4571
2022-5-31 11,SUPPORT_151,5/31/2022 11:00,161.023,161.355,160.985,161.312,7192,161.4496
2022-5-31 23,SUPPORT_152,5/31/2022 23:00,162.174,162.238,162.018,162.032,1379,162.0082
2022-6-01 00,SUPPORT_152,6/1/2022 0:00,162.098,162.132,162.006,162.118,268,162.0864
2022-6-01 07,SUPPORT_153,6/1/2022 7:00,162.601,162.701,162.374,162.57,4023,162.3799
2022-6-01 08,SUPPORT_153,6/1/2022 8:00,162.57,162.662,162.442,162.568,3983,162.4192
2022-6-01 12,SUPPORT_154,6/1/2022 12:00,162.835,162.905,162.675,162.811,5051,162.697
2022-6-01 13,SUPPORT_154,6/1/2022 13:00,162.813,163.076,162.808,162.872,4178,162.7317
2022-6-01 18,SUPPORT_155,6/1/2022 18:00,162.36,162.367,161.96,162.206,8657,162.6807
2022-6-01 19,SUPPORT_155,6/1/2022 19:00,162.205,162.341,162.028,162.249,5617,162.6097
2022-6-01 23,SUPPORT_156,6/1/2022 23:00,162.461,162.635,162.365,162.39,2062,162.4587
2022-6-02 00,SUPPORT_156,6/2/2022 0:00,162.417,162.479,162.37,162.453,3079,162.4183
2022-6-02 04,SUPPORT_157,6/2/2022 4:00,162.351,162.414,162.248,162.251,4414,162.4124
2022-6-02 05,SUPPORT_157,6/2/2022 5:00,162.253,162.411,162.118,162.322,4860,162.4197
2022-6-02 08,SUPPORT_158,6/2/2022 8:00,162.366,162.4,162.103,162.278,3229,162.3572
2022-6-02 09,SUPPORT_158,6/2/2022 9:00,162.278,162.546,162.258,162.531,4453,162.3713
2022-6-02 15,SUPPORT_159,6/2/2022 15:00,162.813,162.865,162.571,162.749,8195,162.6122
2022-6-02 16,SUPPORT_159,6/2/2022 16:00,162.749,162.853,162.607,162.801,9484,162.6615
2022-6-02 21,SUPPORT_160,6/2/2022 21:00,163.323,163.37,163.166,163.173,3549,162.9517
2022-6-02 22,SUPPORT_160,6/2/2022 22:00,163.178,163.279,163.136,163.264,2446,163.0042
2022-6-03 04,SUPPORT_161,6/3/2022 4:00,163.199,163.309,163.052,163.194,3644,163.266
2022-6-03 05,SUPPORT_161,6/3/2022 5:00,163.195,163.37,163.161,163.211,3009,163.2609
2022-6-03 14,SUPPORT_162,6/3/2022 14:00,163.542,163.586,163.424,163.437,4629,163.3435
2022-6-03 15,SUPPORT_162,6/3/2022 15:00,163.434,163.649,163.304,163.567,9175,163.3791
2022-6-03 18,SUPPORT_163,6/3/2022 18:00,163.684,163.713,163.483,163.579,5665,163.5407
2022-6-03 19,SUPPORT_163,6/3/2022 19:00,163.577,163.692,163.562,163.69,4367,163.5797
2022-6-03 23,SUPPORT_164,6/3/2022 23:00,163.536,163.543,163.287,163.318,1420,163.5919
2022-6-06 00,SUPPORT_164,6/6/2022 0:00,163.486,163.486,163.315,163.433,240,163.5915
2022-6-06 04,SUPPORT_165,6/6/2022 4:00,163.293,163.293,162.898,163.04,4941,163.4171
2022-6-06 05,SUPPORT_165,6/6/2022 5:00,163.041,163.19,163.035,163.12,3639,163.3601
2022-6-06 06,SUPPORT_166,6/6/2022 6:00,163.122,163.158,163.001,163.043,2751,163.3077
2022-6-06 07,SUPPORT_166,6/6/2022 7:00,163.043,163.315,162.943,163.311,3926,163.2847
2022-6-06 13,SUPPORT_167,6/6/2022 13:00,164.211,164.228,163.899,164.005,3651,163.5993
2022-6-06 14,SUPPORT_167,6/6/2022 14:00,164.004,164.232,163.941,164.213,3830,163.7166
2022-6-06 23,SUPPORT_168,6/6/2022 23:00,165.272,165.35,165.181,165.223,1550,164.9025
2022-6-07 00,SUPPORT_168,6/7/2022 0:00,165.197,165.262,165.129,165.259,3228,165.0071
2022-6-07 08,SUPPORT_169,6/7/2022 8:00,166.059,166.075,165.356,165.408,7381,165.567
2022-6-07 09,SUPPORT_169,6/7/2022 9:00,165.409,165.67,165.276,165.497,8668,165.5944
2022-6-07 15,SUPPORT_170,6/7/2022 15:00,165.96,166.093,165.808,165.813,6827,165.8029
2022-6-07 16,SUPPORT_170,6/7/2022 16:00,165.806,166.183,165.65,166.003,9301,165.819
2022-6-07 23,SUPPORT_171,6/7/2022 23:00,167.077,167.096,166.873,166.886,1377,166.5748
2022-6-08 00,SUPPORT_171,6/8/2022 0:00,166.919,166.956,166.695,166.94,295,166.6728
2022-6-08 06,SUPPORT_172,6/8/2022 6:00,167.317,167.317,167.005,167.207,4202,167.121
2022-6-08 07,SUPPORT_172,6/8/2022 7:00,167.206,167.384,167.14,167.316,4341,167.1688
2022-6-08 17,SUPPORT_173,6/8/2022 17:00,168.321,168.418,167.679,167.963,10308,167.8534
2022-6-08 18,SUPPORT_173,6/8/2022 18:00,167.963,168.38,167.807,168.376,6685,167.9539
2022-6-09 00,SUPPORT_174,6/9/2022 0:00,168.3,168.3,168.042,168.23,2128,168.2365
2022-6-09 01,SUPPORT_174,6/9/2022 1:00,168.23,168.535,168.207,168.5,2616,168.2524
2022-6-09 10,SUPPORT_175,6/9/2022 10:00,167.505,167.656,166.754,166.794,9220,167.9843
2022-6-09 11,SUPPORT_175,6/9/2022 11:00,166.787,167.479,166.679,167.385,7640,167.8728
2022-6-09 19,SUPPORT_176,6/9/2022 19:00,167.742,167.887,167.704,167.877,5997,167.5555
2022-6-09 20,SUPPORT_176,6/9/2022 20:00,167.877,167.886,167.628,167.878,4875,167.6639
2022-6-09 23,SUPPORT_177,6/9/2022 23:00,167.9,167.954,167.768,167.771,1469,167.8663
2022-6-10 00,SUPPORT_177,6/10/2022 0:00,167.732,168.038,167.717,167.896,1417,167.889
2022-6-10 05,SUPPORT_178,6/10/2022 5:00,167.535,167.615,167.324,167.532,5630,167.7705
2022-6-10 06,SUPPORT_178,6/10/2022 6:00,167.532,167.684,167.481,167.55,3463,167.7377
2022-6-10 18,SUPPORT_179,6/10/2022 18:00,165.681,165.683,165.158,165.442,8511,166.346
2022-6-10 19,SUPPORT_179,6/10/2022 19:00,165.442,165.449,165.215,165.345,6038,166.1764
2022-6-13 04,SUPPORT_180,6/13/2022 4:00,165.664,165.706,165.394,165.442,7470,165.4669
2022-6-13 05,SUPPORT_180,6/13/2022 5:00,165.44,165.55,165.322,165.467,6692,165.4791
2022-6-13 17,SUPPORT_181,6/13/2022 17:00,162.751,163.122,162.237,162.391,10382,163.9988
2022-6-13 18,SUPPORT_181,6/13/2022 18:00,162.391,163.289,162.366,163.202,8600,163.7475
2022-6-13 22,SUPPORT_182,6/13/2022 22:00,163.036,163.308,162.82,162.915,11563,163.1885
2022-6-13 23,SUPPORT_182,6/13/2022 23:00,162.915,163.177,162.866,163.011,4222,163.0858
2022-6-14 02,SUPPORT_183,6/14/2022 2:00,162.979,163.081,162.853,162.982,2555,163.0121
2022-6-14 03,SUPPORT_183,6/14/2022 3:00,162.977,163.073,162.695,163.058,7378,163.0788
2022-6-14 13,SUPPORT_184,6/14/2022 13:00,162.455,162.676,162.209,162.224,8373,163.3308
2022-6-14 14,SUPPORT_184,6/14/2022 14:00,162.225,162.631,162.225,162.32,9363,163.2641
2022-6-14 17,SUPPORT_185,6/14/2022 17:00,162.033,162.113,161.329,161.541,11272,162.779
2022-6-14 18,SUPPORT_185,6/14/2022 18:00,161.536,162.113,161.51,162.068,10527,162.5735
2022-6-14 21,SUPPORT_186,6/14/2022 21:00,161.714,161.896,161.605,161.892,6003,162.0655
2022-6-14 22,SUPPORT_186,6/14/2022 22:00,161.947,162.128,161.519,161.993,8027,162.0199
2022-6-15 03,SUPPORT_187,6/15/2022 3:00,162.464,162.557,162.01,162.267,7428,162.1955
2022-6-15 04,SUPPORT_187,6/15/2022 4:00,162.266,162.703,162.212,162.683,7416,162.257
2022-6-15 08,SUPPORT_188,6/15/2022 8:00,162.094,162.26,161.737,161.821,7469,162.4004
2022-6-15 09,SUPPORT_188,6/15/2022 9:00,161.825,162.162,161.719,162.059,10393,162.3563
2022-6-15 18,SUPPORT_189,6/15/2022 18:00,162.398,162.465,162.098,162.162,7617,162.4192
2022-6-15 19,SUPPORT_189,6/15/2022 19:00,162.163,162.367,162.036,162.222,5022,162.4355
2022-6-16 14,SUPPORT_190,6/16/2022 14:00,161.755,161.862,159.984,161.144,14213,162.3897
2022-6-16 15,SUPPORT_190,6/16/2022 15:00,161.147,162.512,161.106,162.277,12289,162.263
2022-6-16 21,SUPPORT_191,6/16/2022 21:00,163.265,163.402,163.039,163.081,8250,162.3613
2022-6-16 22,SUPPORT_191,6/16/2022 22:00,163.079,163.367,162.889,163.182,7530,162.5592
2022-6-17 04,SUPPORT_192,6/17/2022 4:00,164.175,164.432,163.982,164.29,9596,163.4924
2022-6-17 05,SUPPORT_192,6/17/2022 5:00,164.287,165.725,162.983,164.55,10601,163.6298
