Date,Time,Open,High,Low,Close,Volume
2024.02.13,21:00:00,189.808,189.867,189.682,189.7,6267
2024.02.13,22:00:00,189.701,189.823,189.687,189.808,6583
2024.02.13,23:00:00,189.809,189.9,189.795,189.857,3889
2024.02.14,0:00:00,189.854,189.873,189.585,189.685,1714
2024.02.14,1:00:00,189.687,189.829,189.565,189.75,2478
2024.02.14,2:00:00,189.748,189.792,189.649,189.664,5753
2024.02.14,3:00:00,189.662,189.666,189.492,189.629,7787
2024.02.14,4:00:00,189.629,189.721,189.605,189.705,5650
2024.02.14,5:00:00,189.705,189.706,189.585,189.635,4088
2024.02.14,6:00:00,189.635,189.661,189.54,189.611,4712
2024.02.14,7:00:00,189.612,189.699,189.565,189.681,4870
2024.02.14,8:00:00,189.683,189.822,189.605,189.655,5719
2024.02.14,9:00:00,189.645,189.681,188.908,189.017,9348
2024.02.14,10:00:00,189.016,189.057,188.802,189.022,9082
2024.02.14,11:00:00,189.021,189.078,188.743,188.883,8655
2024.02.14,12:00:00,188.88,188.988,188.838,188.956,6834
2024.02.14,13:00:00,188.953,189.051,188.839,188.997,7546
2024.02.14,14:00:00,188.997,189.169,188.965,189.037,6669
2024.02.14,15:00:00,189.037,189.295,189.035,189.244,8850
2024.02.14,16:00:00,189.245,189.264,189.02,189.113,9188
2024.02.14,17:00:00,189.112,189.154,188.856,189.005,9370
2024.02.14,18:00:00,189.004,189.038,188.869,189.006,8831
2024.02.14,19:00:00,189.006,189.094,188.904,188.997,6713
2024.02.14,20:00:00,188.997,189.068,188.963,189.036,5443
2024.02.14,21:00:00,189.036,189.152,188.981,189.108,5047
2024.02.14,22:00:00,189.106,189.168,189.028,189.165,3265
2024.02.14,23:00:00,189.173,189.245,189.154,189.154,2491
2024.02.15,0:00:00,189.154,189.154,189.029,189.075,860
2024.02.15,1:00:00,189.084,189.21,189.013,189.201,1990
2024.02.15,2:00:00,189.197,189.201,188.885,188.902,6217
2024.02.15,3:00:00,188.902,188.915,188.612,188.676,5881
2024.02.15,4:00:00,188.677,188.834,188.659,188.812,4691
2024.02.15,5:00:00,188.812,188.847,188.763,188.792,4094
2024.02.15,6:00:00,188.792,188.792,188.594,188.633,4678
2024.02.15,7:00:00,188.634,188.704,188.597,188.691,5117
2024.02.15,8:00:00,188.692,188.757,188.596,188.596,5269
2024.02.15,9:00:00,188.591,188.616,188.304,188.421,6269
2024.02.15,10:00:00,188.42,188.426,188.257,188.315,6950
2024.02.15,11:00:00,188.313,188.381,188.226,188.337,5181
2024.02.15,12:00:00,188.337,188.482,188.254,188.397,5336
2024.02.15,13:00:00,188.397,188.426,188.202,188.328,4026
2024.02.15,14:00:00,188.326,188.385,188.23,188.315,5290
2024.02.15,15:00:00,188.315,188.403,187.953,188.317,10809
2024.02.15,16:00:00,188.317,188.725,188.317,188.593,11607
2024.02.15,17:00:00,188.593,188.913,188.58,188.816,9337
2024.02.15,18:00:00,188.815,188.985,188.812,188.894,8534
2024.02.15,19:00:00,188.896,188.967,188.857,188.902,6604
2024.02.15,20:00:00,188.904,188.905,188.761,188.777,6615
2024.02.15,21:00:00,188.776,188.902,188.775,188.874,5581
2024.02.15,22:00:00,188.876,188.956,188.868,188.875,4922
2024.02.15,23:00:00,188.879,188.941,188.861,188.866,2742
2024.02.16,0:00:00,188.865,188.912,188.75,188.876,1214
2024.02.16,1:00:00,188.873,188.943,188.811,188.915,1823
2024.02.16,2:00:00,188.913,189.019,188.849,188.951,5166
2024.02.16,3:00:00,188.949,188.993,188.855,188.886,6332
2024.02.16,4:00:00,188.886,189.112,188.874,189.106,5864
2024.02.16,5:00:00,189.105,189.14,188.997,189.102,5256
2024.02.16,6:00:00,189.102,189.144,189.021,189.039,5566
2024.02.16,7:00:00,189.038,189.121,188.942,188.946,4613
2024.02.16,8:00:00,188.948,189.083,188.942,188.959,5079
2024.02.16,9:00:00,188.96,189.31,188.943,189.136,8059
2024.02.16,10:00:00,189.135,189.211,188.901,188.944,7386
2024.02.16,11:00:00,188.942,189.159,188.912,189.134,5314
2024.02.16,12:00:00,189.136,189.176,189.089,189.147,3670
2024.02.16,13:00:00,189.146,189.246,189.099,189.206,5361
2024.02.16,14:00:00,189.203,189.235,189.072,189.095,3879
2024.02.16,15:00:00,189.094,189.196,189.032,189.146,10138
2024.02.16,16:00:00,189.147,189.168,188.986,189.014,10300
2024.02.16,17:00:00,189.016,189.128,188.872,189.059,10789
2024.02.16,18:00:00,189.056,189.249,189.034,189.233,6616
2024.02.16,19:00:00,189.232,189.414,189.171,189.386,5442
2024.02.16,20:00:00,189.387,189.501,189.188,189.456,4946
2024.02.16,21:00:00,189.457,189.503,189.274,189.376,4832
2024.02.16,22:00:00,189.373,189.377,189.254,189.299,3279
2024.02.16,23:00:00,189.299,189.299,189.195,189.233,1865
2024.02.19,0:00:00,189.13,189.256,189.069,189.122,736
2024.02.19,1:00:00,189.122,189.335,189.084,189.333,2289
2024.02.19,2:00:00,189.331,189.345,189.194,189.226,4543
2024.02.19,3:00:00,189.229,189.272,189.118,189.167,5798
2024.02.19,4:00:00,189.166,189.192,189.106,189.151,5546
2024.02.19,5:00:00,189.151,189.188,189.083,189.091,5619
