Datetimetry,Date,Time,Open,High,Low,Close,Volume,MA_10
2024.08.07 20,2024.08.07,20:00:00,186.326,186.431,185.93,185.952,1835,186.85
2024.08.07 21,2024.08.07,21:00:00,185.97,186.218,185.926,186.203,1117,186.74
2024.08.07 22,2024.08.07,22:00:00,186.19,186.204,185.501,185.851,2119,186.63
2024.08.07 23,2024.08.07,23:00:00,185.869,185.874,184.581,185.514,7145,186.46
2024.08.08 00,2024.08.08,0:00:00,185.52,185.896,184.474,185.136,11076,186.23
2024.08.08 01,2024.08.08,1:00:00,185.142,186.01,185.077,185.664,8213,186.06
2024.08.08 02,2024.08.08,2:00:00,185.658,186.364,185.648,186.067,5260,185.96
2024.08.08 03,2024.08.08,3:00:00,186.072,186.284,185.768,185.884,4289,185.88
2024.08.08 04,2024.08.08,4:00:00,185.89,185.909,185.217,185.524,5678,185.81
2024.08.08 05,2024.08.08,5:00:00,185.529,185.861,185.254,185.301,5863,185.71
2024.08.08 06,2024.08.08,6:00:00,185.295,185.945,185.166,185.844,6214,185.70
2024.08.08 07,2024.08.08,7:00:00,185.849,185.891,184.807,185.252,7487,185.60
2024.08.08 08,2024.08.08,8:00:00,185.257,185.796,185.101,185.662,5758,185.58
2024.08.08 09,2024.08.08,9:00:00,185.656,185.964,185.026,185.173,5386,185.55
2024.08.08 10,2024.08.08,10:00:00,185.167,185.611,184.937,185.402,5088,185.58
2024.08.08 11,2024.08.08,11:00:00,185.403,185.782,185.16,185.552,5246,185.57
2024.08.08 12,2024.08.08,12:00:00,185.558,186.666,185.283,186.403,8921,185.60
2024.08.08 13,2024.08.08,13:00:00,186.398,187.125,186.292,186.898,8372,185.70
2024.08.08 14,2024.08.08,14:00:00,186.894,187.546,186.701,187.271,6212,185.88
2024.08.08 15,2024.08.08,15:00:00,187.266,187.455,187.066,187.395,4474,186.09
2024.08.08 16,2024.08.08,16:00:00,187.391,187.646,187.319,187.613,3416,186.26
2024.08.08 17,2024.08.08,17:00:00,187.617,187.876,187.406,187.787,3392,186.52
2024.08.08 18,2024.08.08,18:00:00,187.789,187.867,187.674,187.688,2699,186.72
2024.08.08 19,2024.08.08,19:00:00,187.683,187.76,187.43,187.516,3157,186.95
2024.08.08 20,2024.08.08,20:00:00,187.517,187.763,187.461,187.688,1378,187.18
2024.08.08 21,2024.08.08,21:00:00,187.626,187.71,187.511,187.64,815,187.39
2024.08.08 22,2024.08.08,22:00:00,187.602,187.729,187.5,187.656,2164,187.52
2024.08.08 23,2024.08.08,23:00:00,187.674,188.418,187.638,188.237,4399,187.65
2024.08.09 00,2024.08.09,0:00:00,188.231,188.292,187.526,187.9,5919,187.71
2024.08.09 01,2024.08.09,1:00:00,187.903,188.109,187.5,187.506,4497,187.72
2024.08.09 02,2024.08.09,2:00:00,187.505,188.129,187.407,188.117,3996,187.77
2024.08.09 03,2024.08.09,3:00:00,188.111,188.21,187.714,187.833,2861,187.78
2024.08.09 04,2024.08.09,4:00:00,187.835,187.883,187.178,187.274,3501,187.74
2024.08.09 05,2024.08.09,5:00:00,187.268,187.607,187.034,187.492,4650,187.73
2024.08.09 06,2024.08.09,6:00:00,187.498,188.001,187.373,187.977,4084,187.76
2024.08.09 07,2024.08.09,7:00:00,187.979,187.988,187.541,187.873,4822,187.79
2024.08.09 08,2024.08.09,8:00:00,187.872,188.036,187.464,187.902,4483,187.81
2024.08.09 09,2024.08.09,9:00:00,187.906,188.008,187.743,187.867,3615,187.77
2024.08.09 10,2024.08.09,10:00:00,187.865,187.865,187.401,187.523,3377,187.74
2024.08.09 11,2024.08.09,11:00:00,187.528,187.554,187.004,187.299,4088,187.72
2024.08.09 12,2024.08.09,12:00:00,187.304,187.324,186.471,186.944,5207,187.60
2024.08.09 13,2024.08.09,13:00:00,186.949,186.985,186.667,186.854,5120,187.50
2024.08.09 14,2024.08.09,14:00:00,186.85,187.118,186.55,187.025,5361,187.48
2024.08.09 15,2024.08.09,15:00:00,187.022,187.377,186.915,186.979,4097,187.42
2024.08.09 16,2024.08.09,16:00:00,186.982,187.1,186.935,187.037,2726,187.33
2024.08.09 17,2024.08.09,17:00:00,187.035,187.311,187.012,187.195,2550,187.26
2024.08.09 18,2024.08.09,18:00:00,187.2,187.252,186.995,187.038,2105,187.18
2024.08.09 19,2024.08.09,19:00:00,187.035,187.135,186.956,187.09,1962,187.10
2024.08.09 20,2024.08.09,20:00:00,187.091,187.124,186.974,187.011,1252,187.05
2024.08.11 21,2024.08.11,21:05:00,187.006,187.344,186.963,187.334,1144,187.05
2024.08.11 22,2024.08.11,22:05:00,187.352,187.578,187.164,187.495,2264,187.11
2024.08.11 23,2024.08.11,23:05:00,187.493,187.598,187.322,187.496,2185,187.17
2024.08.12 00,2024.08.12,0:00:00,187.491,187.491,187.239,187.333,2473,187.20
2024.08.12 01,2024.08.12,1:00:00,187.332,187.546,187.142,187.497,2373,187.25
2024.08.12 02,2024.08.12,2:00:00,187.496,187.553,187.387,187.511,1759,187.30
2024.08.12 03,2024.08.12,3:00:00,187.512,187.808,187.425,187.792,2291,187.36
2024.08.12 04,2024.08.12,4:00:00,187.797,187.814,187.624,187.768,1950,187.43
2024.08.12 05,2024.08.12,5:00:00,187.77,187.97,187.746,187.915,2110,187.52
2024.08.12 06,2024.08.12,6:00:00,187.916,188.187,187.903,187.933,2724,187.61
2024.08.12 07,2024.08.12,7:00:00,187.939,188.078,187.718,187.971,3517,187.67
2024.08.12 08,2024.08.12,8:00:00,187.966,188.18,187.952,188.084,2771,187.73
2024.08.12 09,2024.08.12,9:00:00,188.078,188.092,187.785,187.964,2409,187.78
2024.08.12 10,2024.08.12,10:00:00,187.97,188.149,187.864,188.098,2266,187.85
2024.08.12 11,2024.08.12,11:00:00,188.097,188.488,188.059,188.436,2733,187.95
2024.08.12 12,2024.08.12,12:00:00,188.434,188.541,188.326,188.535,2704,188.05
2024.08.12 13,2024.08.12,13:00:00,188.541,189.325,188.496,188.639,5181,188.13
2024.08.12 14,2024.08.12,14:00:00,188.644,189.109,188.39,189.036,4870,188.26
2024.08.12 15,2024.08.12,15:00:00,189.035,189.059,188.143,188.435,4771,188.31
2024.08.12 16,2024.08.12,16:00:00,188.441,188.46,187.958,187.985,3579,188.32
2024.08.12 17,2024.08.12,17:00:00,187.981,188.061,187.749,187.883,3564,188.31
2024.08.12 18,2024.08.12,18:00:00,187.886,188.096,187.762,188.09,2589,188.31
2024.08.12 19,2024.08.12,19:00:00,188.083,188.122,187.709,187.912,2157,188.30
2024.08.12 20,2024.08.12,20:00:00,187.904,188.01,187.863,187.87,1277,188.28
2024.08.12 21,2024.08.12,21:00:00,187.828,187.897,187.749,187.809,986,188.22
2024.08.12 22,2024.08.12,22:00:00,187.826,187.91,187.739,187.824,1744,188.15
2024.08.12 23,2024.08.12,23:00:00,187.845,187.957,187.571,187.746,2155,188.06
2024.08.13 00,2024.08.13,0:00:00,187.751,188.06,187.647,188.001,3624,187.96
2024.08.13 01,2024.08.13,1:00:00,188.006,188.344,188,188.15,3008,187.93
2024.08.13 02,2024.08.13,2:00:00,188.147,188.245,188.021,188.216,2146,187.95
2024.08.13 03,2024.08.13,3:00:00,188.209,188.44,188.154,188.378,1937,188.00
2024.08.13 04,2024.08.13,4:00:00,188.383,188.832,188.362,188.751,2464,188.07
2024.08.13 05,2024.08.13,5:00:00,188.756,188.897,188.628,188.704,2140,188.14
2024.08.13 06,2024.08.13,6:00:00,188.714,189.496,188.714,189.339,3552,188.29
2024.08.13 07,2024.08.13,7:00:00,189.334,189.511,189.137,189.378,3727,188.45
2024.08.13 08,2024.08.13,8:00:00,189.38,189.38,188.972,189.203,3138,188.59
2024.08.13 09,2024.08.13,9:00:00,189.179,189.277,188.926,189.158,2637,188.73
2024.08.13 10,2024.08.13,10:00:00,189.163,189.228,188.584,188.609,3073,188.79
2024.08.13 11,2024.08.13,11:00:00,188.605,188.793,188.401,188.484,3358,188.82
2024.08.13 12,2024.08.13,12:00:00,188.481,188.814,188.175,188.78,5047,188.88
2024.08.13 13,2024.08.13,13:00:00,188.772,188.901,187.973,188.518,6988,188.89
2024.08.13 14,2024.08.13,14:00:00,188.523,188.777,188.245,188.512,5050,188.87
2024.08.13 15,2024.08.13,15:00:00,188.516,188.639,188.439,188.516,3448,188.85
2024.08.13 16,2024.08.13,16:00:00,188.514,188.607,188.319,188.469,2872,188.76
2024.08.13 17,2024.08.13,17:00:00,188.473,188.822,188.46,188.803,2572,188.71
2024.08.13 18,2024.08.13,18:00:00,188.805,188.869,188.716,188.735,2777,188.66
2024.08.13 19,2024.08.13,19:00:00,188.73,188.946,188.594,188.89,2341,188.63
2024.08.13 20,2024.08.13,20:00:00,188.885,188.984,188.823,188.831,1637,188.65
2024.08.13 21,2024.08.13,21:00:00,188.76,188.876,188.717,188.79,1275,188.68
2024.08.13 22,2024.08.13,22:00:00,188.767,188.902,188.707,188.858,1577,188.69
2024.08.13 23,2024.08.13,23:00:00,188.884,189.134,188.857,189.042,1966,188.74
2024.08.14 00,2024.08.14,0:00:00,189.044,189.315,189.024,189.193,3291,188.81
2024.08.14 01,2024.08.14,1:00:00,189.197,189.298,188.781,188.911,3160,188.85
2024.08.14 02,2024.08.14,2:00:00,188.91,188.912,187.861,188.315,4967,188.84
2024.08.14 03,2024.08.14,3:00:00,188.316,188.874,188.103,188.693,3941,188.83
2024.08.14 04,2024.08.14,4:00:00,188.687,189.12,188.663,188.844,3043,188.84
2024.08.14 05,2024.08.14,5:00:00,188.845,189.159,188.756,189.159,2540,188.86
2024.08.14 06,2024.08.14,6:00:00,189.165,189.203,188.437,188.901,4467,188.87
2024.08.14 07,2024.08.14,7:00:00,188.902,189.264,188.847,189.239,3584,188.92
2024.08.14 08,2024.08.14,8:00:00,189.234,189.36,188.868,188.895,3637,188.92
2024.08.14 09,2024.08.14,9:00:00,188.898,189.069,188.833,189.031,2688,188.92
2024.08.14 10,2024.08.14,10:00:00,189.03,189.047,188.587,188.62,2538,188.86
2024.08.14 11,2024.08.14,11:00:00,188.621,188.772,188.564,188.725,2361,188.84
2024.08.14 12,2024.08.14,12:00:00,188.729,189.411,188.373,189.139,6426,188.92
2024.08.14 13,2024.08.14,13:00:00,189.133,189.426,188.786,188.874,5601,188.94
2024.08.14 14,2024.08.14,14:00:00,188.878,188.966,188.493,188.661,5557,188.92
2024.08.14 15,2024.08.14,15:00:00,188.659,188.696,188.331,188.685,3211,188.88
2024.08.14 16,2024.08.14,16:00:00,188.681,188.777,188.48,188.643,2790,188.85
2024.08.14 17,2024.08.14,17:00:00,188.638,188.907,188.608,188.831,2432,188.81
2024.08.14 18,2024.08.14,18:00:00,188.829,188.959,188.711,188.905,1940,188.81
2024.08.14 19,2024.08.14,19:00:00,188.903,189.067,188.861,188.962,1540,188.80
2024.08.14 20,2024.08.14,20:00:00,188.96,189.115,188.692,188.802,1260,188.82
2024.08.14 21,2024.08.14,21:00:00,188.805,188.928,188.735,188.887,856,188.84
2024.08.14 22,2024.08.14,22:00:00,188.862,188.899,188.679,188.878,1224,188.81
2024.08.14 23,2024.08.14,23:00:00,188.933,189.049,188.796,188.865,1827,188.81
2024.08.15 00,2024.08.15,0:00:00,188.87,188.989,188.746,188.847,2873,188.83
2024.08.15 01,2024.08.15,1:00:00,188.844,189.304,188.793,189.219,3266,188.88
2024.08.15 02,2024.08.15,2:00:00,189.214,189.335,189.096,189.182,2449,188.94
2024.08.15 03,2024.08.15,3:00:00,189.186,189.207,189.062,189.16,1626,188.97
2024.08.15 04,2024.08.15,4:00:00,189.161,189.182,189.02,189.081,1717,188.99
2024.08.15 05,2024.08.15,5:00:00,189.082,189.164,188.878,188.963,1847,188.99
2024.08.15 06,2024.08.15,6:00:00,188.957,189.282,188.924,189.14,2691,189.02
2024.08.15 07,2024.08.15,7:00:00,189.137,189.316,188.975,189.174,2993,189.05
2024.08.15 08,2024.08.15,8:00:00,189.175,189.323,189.08,189.231,2602,189.09
2024.08.15 09,2024.08.15,9:00:00,189.226,189.499,189.203,189.429,2136,189.14
