Zone_ID,DATETIME,OPEN,HIGH,LOW,CLOSE,Zone_Type,MA_10,Crossover_Trigger,Retest_Performance,Crossover_Trigger,Retest_Performance,"Distance-to-SMA""",Reversal pattern,Direction of Closed Price,
14,1/6/2026 22:00,211.449,211.455,211.387,211.446,Resistance,211.4744,No Cross,No Retest,,,Below MA10,?? Shooting Star,Downwards,Decreasing
14,1/6/2026 23:00,211.445,211.48,211.435,211.443,Resistance,211.4571,No Cross,? Resistance Retested,,,Below MA10,?? Shooting Star,Downwards,Decreasing
14,1/6/2026 23:00,211.442,211.496,211.439,211.487,Resistance,211.4498,No Cross,No Retest,,,Above MA10,?? Bearish Harami,Upwards,Increasing
14,1/6/2026 23:00,211.485,211.495,211.448,211.473,Resistance,211.4502,No Cross,No Retest,,,Above MA10,?? Shooting Star,Downwards,Decreasing
14,1/6/2026 23:00,211.472,211.53,211.403,211.403,Resistance,211.4474,?? BEARISH CROSS,? Resistance Retested,,,Below MA10,Normal,Downwards,Increasing
15,1/8/2026 16:00,210.684,210.751,210.644,210.676,Support,210.6596, ,? Support Retested,1 BULLISH CROSS,5 Support Retested,Above MA10,?? Hammer,,
15,1/8/2026 16:00,210.677,210.783,210.675,210.729,Support,210.6584,No Cross,No Retest,,,Above MA10,?? Hammer,Upwards,Increasing
15,1/8/2026 16:00,210.73,210.941,210.698,210.877,Support,210.6746,No Cross,No Retest,,,Above MA10,?? Hammer,Upwards,Increasing
15,1/8/2026 16:00,210.876,210.905,210.74,210.887,Support,210.694,No Cross,No Retest,,,Above MA10,?? Hammer,Upwards,Decreasing
15,1/8/2026 17:00,210.886,210.948,210.78,210.917,Support,210.7249,No Cross,No Retest,,,Above MA10,?? Hammer,Upwards,Increasing
15,1/8/2026 17:00,210.918,211.016,210.897,210.975,Support,210.7628,No Cross,No Retest,,,Above MA10,?? Hammer,Upwards,Increasing
15,1/8/2026 17:00,210.975,211.037,210.917,210.93,Support,210.7948,No Cross,No Retest,,,Above MA10,?? Hammer,Downwards,Decreasing
15,1/8/2026 17:00,210.931,210.932,210.796,210.826,Support,210.8156,No Cross,? Support Retested,,,Above MA10,?? Bullish Harami,Downwards,Increasing
15,1/8/2026 18:00,210.83,210.878,210.811,210.834,Support,210.8335,No Cross,? Support Retested,,,Above MA10,?? Hammer,Upwards,Decreasing
15,1/8/2026 18:00,210.835,210.85,210.765,210.779,Support,210.843,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Increasing
15,1/8/2026 18:00,210.78,210.809,210.727,210.728,Support,210.8482,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Decreasing
15,1/8/2026 18:00,210.729,210.796,210.707,210.707,Support,210.846,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Decreasing
15,1/8/2026 19:00,210.705,210.712,210.637,210.663,Support,210.8246,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Increasing
15,1/8/2026 19:00,210.663,210.668,210.556,210.604,Support,210.7963,No Cross,No Retest,,,Below MA10,?? Piercing Line,Downwards,Increasing
15,1/8/2026 19:00,210.603,210.663,210.601,210.642,Support,210.7688,No Cross,No Retest,,,Below MA10,?? Hammer,Upwards,Decreasing
15,1/8/2026 19:00,210.642,210.709,210.613,210.677,Support,210.739,No Cross,No Retest,,,Below MA10,?? Hammer,Upwards,Decreasing
15,1/8/2026 20:00,210.672,210.701,210.602,210.674,Support,210.7134,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Decreasing
15,1/8/2026 20:00,210.667,210.675,210.618,210.646,Support,210.6954,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Increasing
15,1/8/2026 20:00,210.647,210.689,210.63,210.639,Support,210.6759,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Decreasing
15,1/8/2026 20:00,210.642,210.658,210.56,210.584,Support,210.6564,No Cross,No Retest,,,Below MA10,?? Bullish Harami,Downwards,Increasing
15,1/8/2026 21:00,210.584,210.631,210.539,210.629,Support,210.6465,No Cross,No Retest,,,Below MA10,Normal,Upwards,Decreasing
15,1/8/2026 21:00,210.63,210.685,210.594,210.676,Support,210.6434,?? BULLISH CROSS,? Support Retested,,,Above MA10,?? Hammer,Upwards,Increasing
15,1/8/2026 21:00,210.678,210.727,210.669,210.717,Support,210.6488,No Cross,No Retest,,,Above MA10,?? Hammer,Upwards,Decreasing
15,1/8/2026 21:00,210.718,210.82,210.715,210.811,Support,210.6695,No Cross,No Retest,,,Above MA10,Normal,Upwards,Increasing
15,1/8/2026 22:00,210.81,210.877,210.792,210.861,Support,210.6914,No Cross,No Retest,,,Above MA10,?? Hammer,Upwards,Decreasing
15,1/8/2026 22:00,210.861,210.873,210.831,210.839,Support,210.7076,No Cross,No Retest,,,Above MA10,?? Hammer,Downwards,Decreasing
15,1/8/2026 22:00,210.84,210.891,210.823,210.883,Support,210.7285,No Cross,No Retest,,,Above MA10,?? Hammer,Upwards,Increasing
15,1/8/2026 22:00,210.883,210.929,210.866,210.878,Support,210.7517,No Cross,No Retest,,,Above MA10,?? Hammer,Downwards,Decreasing
15,1/8/2026 23:00,210.881,210.942,210.872,210.902,Support,210.778,No Cross,No Retest,,,Above MA10,?? Hammer,Upwards,Increasing
15,1/8/2026 23:00,210.903,210.913,210.834,210.838,Support,210.8034,No Cross,No Retest,,,Above MA10,?? Bullish Harami,Downwards,Increasing
15,1/8/2026 23:00,210.838,210.875,210.807,210.873,Support,210.8278,No Cross,? Support Retested,,,Above MA10,Normal,Upwards,Decreasing
15,1/8/2026 23:00,210.875,210.894,210.757,210.757,Support,210.8359,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Increasing
16,1/9/2026 20:00,211.829,211.841,211.731,211.776,Support,211.8582, ,No Retest,3 BULLISH CROSS,6 Support Retested,Below MA10,?? Hammer,,
16,1/9/2026 20:00,211.777,211.803,211.734,211.765,Support,211.8529,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Decreasing
16,1/9/2026 20:00,211.767,211.784,211.702,211.702,Support,211.8347,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Increasing
16,1/9/2026 20:00,211.703,211.746,211.651,211.688,Support,211.8135,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Decreasing
16,1/9/2026 21:00,211.686,211.698,211.623,211.685,Support,211.7797,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Decreasing
16,1/9/2026 21:00,211.686,211.697,211.647,211.656,Support,211.7476,No Cross,No Retest,,,Below MA10,?? Bullish Harami,Downwards,Increasing
16,1/9/2026 21:00,211.657,211.682,211.634,211.67,Support,211.7336,No Cross,No Retest,,,Below MA10,?? Hammer,Upwards,Decreasing
16,1/9/2026 21:00,211.669,211.697,211.657,211.659,Support,211.7218,No Cross,No Retest,,,Below MA10,?? Bullish Engulfing,Downwards,Decreasing
16,1/9/2026 22:00,211.659,211.721,211.659,211.677,Support,211.7102,No Cross,No Retest,,,Below MA10,?? Hammer,Upwards,Increasing
16,1/9/2026 22:00,211.677,211.7,211.661,211.673,Support,211.6951,No Cross,No Retest,,,Below MA10,?? Bullish Engulfing,Downwards,Decreasing
16,1/9/2026 22:00,211.673,211.689,211.636,211.687,Support,211.6862,?? BULLISH CROSS,? Support Retested,,,Above MA10,?? Hammer,Upwards,Increasing
16,1/9/2026 22:00,211.685,211.685,211.626,211.66,Support,211.6757,No Cross,No Retest,,,Below MA10,Normal,Downwards,Increasing
16,1/9/2026 23:00,211.658,211.714,211.657,211.669,Support,211.6724,No Cross,No Retest,,,Below MA10,?? Hammer,Upwards,Decreasing
16,1/9/2026 23:00,211.67,211.677,211.609,211.62,Support,211.6656,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Increasing
16,1/9/2026 23:00,211.619,211.664,211.601,211.603,Support,211.6574,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Decreasing
16,1/9/2026 23:00,211.606,211.638,211.567,211.637,Support,211.6555,No Cross,No Retest,,,Below MA10,Normal,Upwards,Increasing
16,1/12/2026 0:00,211.747,211.771,211.644,211.645,Support,211.653,No Cross,No Retest,,,Below MA10,?? Bullish Harami,Upwards,Increasing
16,1/12/2026 0:00,211.647,211.772,211.646,211.725,Support,211.6596,?? BULLISH CROSS,? Support Retested,,,Above MA10,?? Hammer,Upwards,Decreasing
16,1/12/2026 0:00,211.73,211.767,211.723,211.75,Support,211.6669,No Cross,No Retest,,,Above MA10,?? Hammer,Upwards,Decreasing
16,1/12/2026 0:00,211.749,211.757,211.667,211.668,Support,211.6664,No Cross,No Retest,,,Above MA10,?? Bullish Harami,Downwards,Increasing
16,1/12/2026 1:00,211.669,211.786,211.59,211.735,Support,211.6712,No Cross,? Support Retested,,,Above MA10,?? Hammer,Upwards,Decreasing
16,1/12/2026 1:00,211.734,211.815,211.73,211.801,Support,211.6853,No Cross,No Retest,,,Above MA10,?? Hammer,Upwards,Increasing
16,1/12/2026 1:00,211.801,211.854,211.771,211.799,Support,211.6983,No Cross,No Retest,,,Above MA10,?? Hammer,Downwards,Decreasing
16,1/12/2026 1:00,211.796,211.84,211.771,211.792,Support,211.7155,No Cross,No Retest,,,Above MA10,?? Bullish Engulfing,Downwards,Increasing
16,1/12/2026 2:00,211.791,211.866,211.764,211.812,Support,211.7364,No Cross,No Retest,,,Above MA10,?? Hammer,Upwards,Increasing
16,1/12/2026 2:00,211.809,211.886,211.741,211.744,Support,211.7471,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Increasing
16,1/12/2026 2:00,211.746,211.832,211.689,211.721,Support,211.7547,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Decreasing
16,1/12/2026 2:00,211.721,211.769,211.661,211.688,Support,211.751,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Increasing
16,1/12/2026 3:00,211.699,211.79,211.636,211.734,Support,211.7494,No Cross,No Retest,,,Below MA10,?? Hammer,Upwards,Increasing
16,1/12/2026 3:00,211.734,211.804,211.695,211.784,Support,211.761,?? BULLISH CROSS,? Support Retested,,,Above MA10,?? Hammer,Upwards,Increasing
16,1/12/2026 3:00,211.784,211.853,211.766,211.796,Support,211.7671,No Cross,? Support Retested,,,Above MA10,?? Hammer,Upwards,Decreasing
16,1/12/2026 3:00,211.795,211.823,211.736,211.804,Support,211.7674,No Cross,? Support Retested,,,Above MA10,?? Hammer,Upwards,Decreasing
17,1/12/2026 20:00,212.839,212.839,212.726,212.759,Support,212.8664, ,No Retest,3 BULLISH CROSS,3 Support Retested,Below MA10,Normal,,
17,1/12/2026 20:00,212.759,212.804,212.739,212.776,Support,212.8576,No Cross,No Retest,,,Below MA10,?? Hammer,Upwards,Decreasing
17,1/12/2026 20:00,212.776,212.826,212.772,212.797,Support,212.8504,No Cross,No Retest,,,Below MA10,?? Hammer,Upwards,Increasing
17,1/12/2026 20:00,212.805,212.844,212.793,212.823,Support,212.8395,No Cross,No Retest,,,Below MA10,?? Hammer,Upwards,Decreasing
17,1/12/2026 21:00,212.822,212.866,212.795,212.866,Support,212.8358,?? BULLISH CROSS,? Support Retested,,,Above MA10,Normal,Upwards,Increasing
17,1/12/2026 21:00,212.867,212.893,212.844,212.876,Support,212.8303,No Cross,No Retest,,,Above MA10,?? Hammer,Upwards,Decreasing
17,1/12/2026 21:00,212.875,212.894,212.849,212.864,Support,212.8248,No Cross,No Retest,,,Above MA10,?? Hammer,Downwards,Increasing
17,1/12/2026 21:00,212.865,212.953,212.86,212.941,Support,212.8382,No Cross,No Retest,,,Above MA10,?? Hammer,Upwards,Increasing
17,1/12/2026 22:00,212.941,212.954,212.918,212.921,Support,212.8464,No Cross,No Retest,,,Above MA10,?? Bullish Engulfing,Downwards,Decreasing
17,1/12/2026 22:00,212.921,212.955,212.919,212.955,Support,212.8578,No Cross,No Retest,,,Above MA10,Normal,Upwards,Increasing
17,1/12/2026 22:00,212.962,212.992,212.95,212.954,Support,212.8773,No Cross,No Retest,,,Above MA10,?? Bullish Harami,Downwards,Decreasing
17,1/12/2026 22:00,212.955,212.988,212.951,212.962,Support,212.8959,No Cross,No Retest,,,Above MA10,?? Hammer,Upwards,Decreasing
17,1/12/2026 23:00,212.962,213,212.927,212.95,Support,212.9112,No Cross,No Retest,,,Above MA10,?? Bullish Engulfing,Downwards,Increasing
17,1/12/2026 23:00,212.949,212.994,212.932,212.978,Support,212.9267,No Cross,No Retest,,,Above MA10,?? Hammer,Upwards,Increasing
17,1/12/2026 23:00,212.977,212.983,212.943,212.968,Support,212.9369,No Cross,No Retest,,,Above MA10,?? Hammer,Downwards,Decreasing
17,1/12/2026 23:00,212.97,212.992,212.806,212.806,Support,212.9299,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Increasing
17,1/13/2026 0:00,212.793,212.828,212.646,212.701,Support,212.9136,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Decreasing
17,1/13/2026 0:00,212.7,212.825,212.698,212.739,Support,212.8934,No Cross,No Retest,,,Below MA10,?? Hammer,Upwards,Decreasing
17,1/13/2026 0:00,212.739,212.833,212.738,212.783,Support,212.8796,No Cross,No Retest,,,Below MA10,?? Hammer,Upwards,Increasing
17,1/13/2026 0:00,212.783,212.842,212.74,212.752,Support,212.8593,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Decreasing
17,1/13/2026 1:00,212.783,212.943,212.747,212.934,Support,212.8573,?? BULLISH CROSS,? Support Retested,,,Above MA10,Normal,Upwards,Increasing
17,1/13/2026 1:00,212.935,212.952,212.66,212.818,Support,212.8429,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Decreasing
17,1/13/2026 1:00,212.819,212.849,212.766,212.786,Support,212.8265,No Cross,No Retest,,,Below MA10,?? Hammer,Downwards,Decreasing
17,1/13/2026 1:00,212.787,212.789,212.668,212.717,Support,212.8004,No Cross,No Retest,,,Below MA10,?? Bullish Engulfing,Downwards,Increasing
17,1/13/2026 2:00,212.716,212.849,212.709,212.849,Support,212.7885,?? BULLISH CROSS,? Support Retested,,,Above MA10,Normal,Upwards,Increasing
17,1/13/2026 2:00,212.849,212.932,212.845,212.857,Support,212.7936,No Cross,No Retest,,,Above MA10,?? Hammer,Upwards,Decreasing
17,1/13/2026 2:00,212.856,212.987,212.83,212.979,Support,212.8214,No Cross,No Retest,,,Above MA10,Normal,Upwards,Increasing
17,1/13/2026 2:00,212.979,213.173,212.941,213.13,Support,212.8605,No Cross,No Retest,,,Above MA10,?? Hammer,Upwards,Increasing
17,1/13/2026 3:00,213.13,213.238,213.125,213.185,Support,212.9007,No Cross,No Retest,,,Above MA10,?? Hammer,Upwards,Decreasing
17,1/13/2026 3:00,213.186,213.388,213.176,213.372,Support,212.9627,No Cross,No Retest,,,Above MA10,Normal,Upwards,Increasing
17,1/13/2026 3:00,213.372,213.438,213.371,213.415,Support,213.0108,No Cross,No Retest,,,Above MA10,?? Hammer,Upwards,Decreasing
17,1/13/2026 3:00,213.415,213.486,213.413,213.472,Support,213.0762,No Cross,No Retest,,,Above MA10,?? Hammer,Upwards,Increasing
18,1/13/2026 8:00,213.908,214.028,213.905,213.989,Resistance,213.9147, ,No Retest,3 BEARISH CROSS,6 Resistance Retested,Above MA10,Normal,,
18,1/13/2026 8:00,213.99,214.071,213.943,214.063,Resistance,213.9297,No Cross,No Retest,,,Above MA10,?? Bearish Harami,Upwards,Decreasing
18,1/13/2026 8:00,214.055,214.059,213.986,214.001,Resistance,213.9321,No Cross,No Retest,,,Above MA10,?? Shooting Star,Downwards,Decreasing
18,1/13/2026 8:00,213.999,214.034,213.853,213.886,Resistance,213.9365,?? BEARISH CROSS,? Resistance Retested,,,Below MA10,?? Shooting Star,Downwards,Increasing
18,1/13/2026 9:00,213.887,213.947,213.843,213.943,Resistance,213.9426,No Cross,No Retest,,,Above MA10,?? Bearish Harami,Upwards,Decreasing
18,1/13/2026 9:00,213.942,213.988,213.852,213.895,Resistance,213.9475,?? BEARISH CROSS,? Resistance Retested,,,Below MA10,?? Shooting Star,Downwards,Decreasing
18,1/13/2026 9:00,213.898,213.927,213.839,213.91,Resistance,213.9485,No Cross,No Retest,,,Below MA10,?? Shooting Star,Upwards,Decreasing
18,1/13/2026 9:00,213.911,214.061,213.898,214.036,Resistance,213.9564,No Cross,No Retest,,,Above MA10,?? Shooting Star,Upwards,Increasing
18,1/13/2026 10:00,214.035,214.083,213.953,214.048,Resistance,213.9677,No Cross,No Retest,,,Above MA10,?? Bearish Harami,Upwards,Decreasing
18,1/13/2026 10:00,214.047,214.082,214,214.035,Resistance,213.9806,No Cross,No Retest,,,Above MA10,?? Shooting Star,Downwards,Decreasing
18,1/13/2026 10:00,214.037,214.13,214.029,214.125,Resistance,213.9942,No Cross,No Retest,,,Above MA10,Normal,Upwards,Increasing
