Zone_ID,Datetimetry,Datetime,Open,High,Low,Close,Volume,MA_10
RESISTANCE_940,2024-12-27 14,2024-12-27 14:00:00,198.393,198.496,198.087,198.356,3743,197.8358
RESISTANCE_940,2024-12-27 15,2024-12-27 15:00:00,198.36,198.496,198.043,198.161,4944,197.9018
RESISTANCE_941,2024-12-30 00,2024-12-30 00:00:00,198.591,198.715,198.352,198.654,2532,198.4236
RESISTANCE_941,2024-12-30 01,2024-12-30 01:00:00,198.65,198.668,198.455,198.495,2081,198.4342
RESISTANCE_942,2024-12-30 06,2024-12-30 06:00:00,198.596,198.944,198.589,198.683,2737,198.577
RESISTANCE_942,2024-12-30 07,2024-12-30 07:00:00,198.687,198.701,198.393,198.612,2923,198.5679
RESISTANCE_943,2024-12-30 10,2024-12-30 10:00:00,198.543,198.753,198.485,198.639,2793,198.5459
RESISTANCE_943,2024-12-30 11,2024-12-30 11:00:00,198.635,198.702,198.568,198.58,2964,198.5544
RESISTANCE_944,2024-12-30 17,2024-12-30 17:00:00,196.861,197.159,196.861,197.114,3480,197.8111
RESISTANCE_944,2024-12-30 18,2024-12-30 18:00:00,197.111,197.278,196.958,197.061,3299,197.6786
RESISTANCE_945,2024-12-30 23,2024-12-30 23:00:00,196.664,196.999,196.664,196.984,1650,196.9152
RESISTANCE_945,2024-12-31 00,2024-12-31 00:00:00,197.002,197.032,196.585,196.591,2208,196.852
RESISTANCE_946,2024-12-31 10,2024-12-31 10:00:00,196.634,196.843,196.477,196.831,4121,196.3097
RESISTANCE_946,2024-12-31 11,2024-12-31 11:00:00,196.834,196.838,196.433,196.598,3150,196.3254
RESISTANCE_947,2024-12-31 16,2024-12-31 16:00:00,196.872,197.109,196.703,197.014,4650,196.5855
RESISTANCE_947,2024-12-31 17,2024-12-31 17:00:00,197.009,197.187,196.831,196.992,3845,196.6639
RESISTANCE_948,2024-12-31 20,2024-12-31 20:00:00,196.779,197.12,196.769,196.959,2573,196.7674
RESISTANCE_948,2024-12-31 21,2024-12-31 21:00:00,196.96,196.966,196.657,196.666,1158,196.7742
RESISTANCE_949,2025-01-01 23,2025-01-01 23:05:00,196.697,197.471,196.666,197.362,1873,196.8517
RESISTANCE_949,2025-01-02 00,2025-01-02 00:00:00,197.419,197.471,196.922,197.039,3433,196.9161
RESISTANCE_950,2025-01-01 23,2025-01-01 23:05:00,196.697,197.471,196.666,197.362,1873,196.8517
RESISTANCE_950,2025-01-02 00,2025-01-02 00:00:00,197.419,197.471,196.922,197.039,3433,196.9161
RESISTANCE_951,2025-01-02 16,2025-01-02 16:00:00,194.465,195.119,194.378,195.083,6012,195.2996
RESISTANCE_951,2025-01-02 17,2025-01-02 17:00:00,195.079,195.313,194.741,194.931,4613,195.176
RESISTANCE_952,2025-01-02 20,2025-01-02 20:00:00,194.95,195.17,194.95,195.075,2887,194.9383
RESISTANCE_952,2025-01-02 21,2025-01-02 21:00:00,195.08,195.093,194.961,194.995,1430,194.8614
RESISTANCE_953,2025-01-03 03,2025-01-03 03:00:00,194.913,195.144,194.819,194.963,2156,194.8921
RESISTANCE_953,2025-01-03 04,2025-01-03 04:00:00,194.961,195.057,194.887,194.927,2085,194.904
RESISTANCE_954,2025-01-03 11,2025-01-03 11:00:00,195.021,195.25,195.011,195.169,2350,194.98
RESISTANCE_954,2025-01-03 12,2025-01-03 12:00:00,195.011,195.032,194.927,194.977,611,194.9861
RESISTANCE_955,2025-01-03 15,2025-01-03 15:00:00,195.009,195.299,194.999,195.233,5168,195.0186
RESISTANCE_955,2025-01-03 16,2025-01-03 16:00:00,195.229,195.361,195.113,195.205,3692,195.0444
RESISTANCE_956,2025-01-06 02,2025-01-06 02:00:00,195.983,196.247,195.955,196.184,2762,195.5054
RESISTANCE_956,2025-01-06 03,2025-01-06 03:00:00,196.179,196.222,195.998,196.12,2458,195.5941
RESISTANCE_957,2025-01-06 11,2025-01-06 11:00:00,196.791,197.403,196.699,197.179,7928,196.465
RESISTANCE_957,2025-01-06 12,2025-01-06 12:00:00,197.183,197.234,196.351,196.527,5996,196.4993
RESISTANCE_958,2025-01-06 16,2025-01-06 16:00:00,197.024,197.388,196.927,197.334,4041,196.7804
RESISTANCE_958,2025-01-06 17,2025-01-06 17:00:00,197.332,197.333,196.972,197.159,3211,196.864
RESISTANCE_959,2025-01-07 03,2025-01-07 03:00:00,198.151,198.248,198.054,198.165,2208,197.5699
RESISTANCE_959,2025-01-07 04,2025-01-07 04:00:00,198.168,198.2,198.027,198.086,2163,197.6751
RESISTANCE_960,2025-01-07 09,2025-01-07 09:00:00,197.74,198.192,197.678,197.995,3842,197.9525
RESISTANCE_960,2025-01-07 10,2025-01-07 10:00:00,197.991,198.154,197.838,198.099,3535,197.9805
RESISTANCE_961,2025-01-07 14,2025-01-07 14:00:00,197.751,197.848,197.538,197.68,4040,197.8006
RESISTANCE_961,2025-01-07 15,2025-01-07 15:00:00,197.695,197.969,197.195,197.379,7519,197.7468
RESISTANCE_962,2025-01-08 05,2025-01-08 05:00:00,197.492,197.527,197.385,197.522,2151,197.3101
RESISTANCE_962,2025-01-08 06,2025-01-08 06:00:00,197.52,197.544,197.328,197.395,2421,197.3486
RESISTANCE_963,2025-01-08 18,2025-01-08 18:00:00,195.544,195.906,195.54,195.763,3092,195.8672
RESISTANCE_963,2025-01-08 19,2025-01-08 19:00:00,195.837,196.001,195.756,195.813,3000,195.7576
RESISTANCE_964,2025-01-09 20,2025-01-09 20:00:00,194.608,194.699,194.558,194.619,1328,194.3129
RESISTANCE_964,2025-01-09 21,2025-01-09 21:00:00,194.616,194.628,194.551,194.575,1092,194.3664
RESISTANCE_965,2025-01-10 02,2025-01-10 02:00:00,194.553,194.768,194.528,194.739,2714,194.5365
RESISTANCE_965,2025-01-10 03,2025-01-10 03:00:00,194.738,194.745,194.616,194.631,1989,194.5511
RESISTANCE_966,2025-01-10 04,2025-01-10 04:00:00,194.629,194.758,194.629,194.706,2209,194.5697
RESISTANCE_966,2025-01-10 05,2025-01-10 05:00:00,194.709,194.769,194.416,194.457,2554,194.5546
RESISTANCE_967,2025-01-10 12,2025-01-10 12:00:00,194.362,194.597,194.31,194.569,3386,194.417
RESISTANCE_967,2025-01-10 13,2025-01-10 13:00:00,194.565,194.688,193.668,193.925,8749,194.3464
RESISTANCE_968,2025-01-10 18,2025-01-10 18:00:00,192.69,192.865,192.64,192.837,3328,193.5663
RESISTANCE_968,2025-01-10 19,2025-01-10 19:00:00,192.839,192.898,192.679,192.753,3269,193.4136
RESISTANCE_969,2025-01-13 08,2025-01-13 08:00:00,191.126,191.724,191.101,191.262,5833,191.6096
RESISTANCE_969,2025-01-13 09,2025-01-13 09:00:00,191.259,191.293,190.071,190.201,6468,191.3776
RESISTANCE_970,2025-01-14 00,2025-01-14 00:00:00,192.4,192.428,192.1,192.36,4363,191.9257
RESISTANCE_970,2025-01-14 01,2025-01-14 01:00:00,192.355,192.91,191.815,192.242,7458,192.0102
RESISTANCE_971,2025-01-14 08,2025-01-14 08:00:00,192.332,192.785,192.175,192.596,5414,192.3529
RESISTANCE_971,2025-01-14 09,2025-01-14 09:00:00,192.597,192.769,192.284,192.335,4782,192.3516
RESISTANCE_972,2025-01-14 21,2025-01-14 21:00:00,192.778,192.98,192.758,192.956,1845,192.47
RESISTANCE_972,2025-01-14 22,2025-01-14 22:00:00,192.859,192.944,192.756,192.868,1430,192.5554
RESISTANCE_973,2025-01-14 23,2025-01-14 23:00:00,192.839,192.974,192.745,192.974,1746,192.6785
RESISTANCE_973,2025-01-15 00,2025-01-15 00:00:00,192.987,192.996,192.696,192.762,3161,192.7721
RESISTANCE_974,2025-01-15 13,2025-01-15 13:00:00,191.722,192.385,191.683,192.318,8074,191.9212
RESISTANCE_974,2025-01-15 14,2025-01-15 14:00:00,192.322,192.386,191.679,191.715,7089,191.8592
RESISTANCE_975,2025-01-15 20,2025-01-15 20:00:00,191.354,191.579,191.343,191.497,2290,191.5909
RESISTANCE_975,2025-01-15 21,2025-01-15 21:00:00,191.511,191.592,191.305,191.343,1551,191.5325
RESISTANCE_976,2025-01-16 00,2025-01-16 00:00:00,191.251,191.532,191.223,191.252,3839,191.339
RESISTANCE_976,2025-01-16 01,2025-01-16 01:00:00,191.253,191.253,190.134,190.222,5305,191.2038
RESISTANCE_977,2025-01-16 06,2025-01-16 06:00:00,190.596,190.924,190.529,190.754,3401,190.8043
RESISTANCE_977,2025-01-16 07,2025-01-16 07:00:00,190.763,190.899,190.455,190.83,4804,190.753
