Zone_ID,Datetimetry,Datetime,Open,High,Low,Close,Volume,MA_10
735,2025-04-14 21,4/14/2025 21:30,188.421,188.546,188.421,188.449,204,188.6072
735,2025-04-14 21,4/14/2025 21:45,188.451,188.55,188.439,188.473,272,188.5966
735,2025-04-14 22,4/14/2025 22:00,188.49,188.646,188.454,188.608,514,188.5848
735,2025-04-14 22,4/14/2025 22:15,188.611,188.694,188.582,188.613,582,188.582
735,2025-04-14 22,4/14/2025 22:30,188.613,188.665,188.572,188.61,500,188.5719
735,2025-04-14 22,4/14/2025 22:45,188.611,188.611,188.525,188.594,543,188.5632
736,2025-04-15 02,4/15/2025 2:00,188.918,188.967,188.729,188.801,948,188.9068
736,2025-04-15 02,4/15/2025 2:15,188.807,188.858,188.723,188.833,914,188.9257
736,2025-04-15 02,4/15/2025 2:30,188.826,188.867,188.754,188.837,903,188.9259
736,2025-04-15 02,4/15/2025 2:45,188.838,188.924,188.835,188.859,895,188.9218
736,2025-04-15 03,4/15/2025 3:00,188.863,188.913,188.787,188.826,800,188.9162
736,2025-04-15 03,4/15/2025 3:15,188.826,188.877,188.699,188.874,720,188.8998
736,2025-04-15 03,4/15/2025 3:30,188.869,188.92,188.807,188.906,682,188.8882
736,2025-04-15 03,4/15/2025 3:45,188.905,188.946,188.851,188.885,690,188.8809
737,2025-04-15 05,4/15/2025 5:00,188.967,189.097,188.926,189.076,882,188.9407
737,2025-04-15 05,4/15/2025 5:15,189.074,189.116,188.998,189.037,904,188.9585
737,2025-04-15 05,4/15/2025 5:30,189.033,189.072,188.984,189.017,861,188.9776
737,2025-04-15 05,4/15/2025 5:45,189.018,189.106,188.846,188.91,944,188.9812
737,2025-04-15 06,4/15/2025 6:00,188.905,188.905,188.547,188.837,1339,188.9743
737,2025-04-15 06,4/15/2025 6:15,188.84,188.872,188.703,188.769,1272,188.9627
737,2025-04-15 06,4/15/2025 6:30,188.777,189.148,188.714,189.144,1283,188.9799
737,2025-04-15 06,4/15/2025 6:45,189.151,189.193,188.958,189.134,1199,188.9872
738,2025-04-15 08,4/15/2025 8:00,189.492,189.517,189.317,189.473,1717,189.1876
738,2025-04-15 08,4/15/2025 8:15,189.477,189.491,189.264,189.332,1207,189.2298
738,2025-04-15 08,4/15/2025 8:30,189.331,189.366,188.989,189.069,1391,189.253
738,2025-04-15 08,4/15/2025 8:45,189.072,189.113,188.946,189.062,1235,189.2823
738,2025-04-15 09,4/15/2025 9:00,189.056,189.056,188.854,188.925,1273,189.2604
738,2025-04-15 09,4/15/2025 9:15,188.919,189.088,188.913,189.074,1277,189.2544
738,2025-04-15 09,4/15/2025 9:30,189.077,189.159,189.028,189.122,1145,189.2313
738,2025-04-15 09,4/15/2025 9:45,189.119,189.211,189.077,189.197,1088,189.2226
739,2025-04-15 12,4/15/2025 12:00,189.077,189.168,189.046,189.143,1284,189.1935
739,2025-04-15 12,4/15/2025 12:15,189.138,189.159,188.74,188.851,1247,189.1589
739,2025-04-15 12,4/15/2025 12:30,188.859,188.948,188.765,188.783,1526,189.1124
739,2025-04-15 12,4/15/2025 12:45,188.777,188.923,188.637,188.918,1349,189.0785
739,2025-04-15 13,4/15/2025 13:00,188.923,188.992,188.88,188.982,1240,189.052
739,2025-04-15 13,4/15/2025 13:15,188.987,189.1,188.94,188.994,1177,189.038
739,2025-04-15 13,4/15/2025 13:30,188.992,189.12,188.875,189.105,1878,189.0388
739,2025-04-15 13,4/15/2025 13:45,189.11,189.246,189.086,189.199,1604,189.0317
740,2025-04-15 21,4/15/2025 21:00,189.42,189.46,189.212,189.306,242,189.3757
740,2025-04-15 21,4/15/2025 21:15,189.309,189.363,189.24,189.269,172,189.3827
740,2025-04-15 21,4/15/2025 21:30,189.295,189.366,189.251,189.325,318,189.3823
740,2025-04-15 21,4/15/2025 21:45,189.322,189.365,189.171,189.175,261,189.3633
740,2025-04-15 22,4/15/2025 22:00,189.182,189.193,189.035,189.127,629,189.3398
740,2025-04-15 22,4/15/2025 22:15,189.13,189.245,189.085,189.163,603,189.3203
740,2025-04-15 22,4/15/2025 22:30,189.144,189.251,189.093,189.144,615,189.2926
740,2025-04-15 22,4/15/2025 22:45,189.146,189.267,189.096,189.231,620,189.2718
741,2025-04-16 07,4/16/2025 7:00,188.792,188.918,188.619,188.703,1592,188.8176
741,2025-04-16 07,4/16/2025 7:15,188.702,188.759,188.574,188.683,1388,188.7757
741,2025-04-16 07,4/16/2025 7:30,188.687,188.801,188.671,188.728,1280,188.754
741,2025-04-16 07,4/16/2025 7:45,188.725,188.775,188.54,188.677,1222,188.7489
